id,DateTime,DateTimeUTC,driver,device,status,origin,state,malfunction,version,sequence,eventRecordStatus,eventCode,eventType,deferralStatus,deferralMinutes,isIgnored,eventCheckSum,isTransitioning
aHrdqgfe39EqjwFjsksHJ8w,2024-05-21 21:47,2024-05-22 01:47:49.027000+00:00,b1A,b16,OFF,Manual,Active,None,000000000073485f,00000000000046fb,1,1,1,None,0,FALSE,00000000000000fe,FALSE
azlxmnGFB4EmT5vckCIpmiA,2024-05-21 15:07,2024-05-21 19:07:45.313000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072cef0,00000000000090f7,1,1,1,None,0,FALSE,000000000000009e,FALSE
a5nURC6poZ0G3jQUymtB_5w,2024-05-21 18:14,2024-05-21 22:14:45.060000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072cef1,00000000000090f9,1,1,1,None,0,FALSE,00000000000000de,FALSE
ayTlXFcKdV0G3cGiFkEK9AQ,2024-05-21 18:21,2024-05-21 22:21:06.557000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072cef3,00000000000090fc,1,1,1,None,0,FALSE,0000000000000037,FALSE
a0Lb3a5KLNkKYKzbtUnTBLQ,2024-05-21 18:39,2024-05-21 22:39:43.500000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072cef4,00000000000090fd,1,1,1,None,0,FALSE,0000000000000086,FALSE
a3j803SF97ke6MDq6ev8YFw,2024-05-21 18:46,2024-05-21 22:46:16.863000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072cef6,0000000000009100,1,1,1,None,0,FALSE,00000000000000f6,FALSE
asdACh8ksuk6Q2TbFHtil4w,2024-05-21 22:12,2024-05-22 02:12:25.560000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072cef9,0000000000009109,1,1,1,None,0,FALSE,0000000000000037,FALSE
ayQewZVIzQ0aF1BftR70p_Q,2024-05-22 2:27,2024-05-22 06:27:46.263000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072cf87,000000000000912d,1,1,1,None,0,FALSE,000000000000009e,FALSE
aZOzFoIUBfEqVuAYIIkfA2Q,2024-05-22 12:39,2024-05-22 16:39:09.533000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072f568,0000000000009131,1,1,1,None,0,FALSE,00000000000000b6,FALSE
aYBGGaCq9CEauku-iCQ2rjw,2024-05-22 15:45,2024-05-22 19:45:23.623000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072f88f,0000000000009133,1,1,1,None,0,FALSE,0000000000000096,FALSE
aVsGTY7_czEejchyGyWhYJg,2024-05-22 15:52,2024-05-22 19:52:27.587000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072f8ca,0000000000009136,1,1,1,None,0,FALSE,00000000000000a6,FALSE
a8e9VYAp190OaGfcqvl1wLg,2024-05-22 16:03,2024-05-22 20:03:57.253000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072f905,0000000000009137,1,1,1,None,0,FALSE,00000000000000de,FALSE
azmqqfKUBn0iD9xryE6D_qg,2024-05-22 16:10,2024-05-22 20:10:26.593000+00:00,b1B,b19,OFF,Manual,Active,None,000000000072f93e,000000000000913a,1,1,1,None,0,FALSE,000000000000002f,FALSE
